客戶ID,方案ID,金額(萬),生效日期,備註
3,1,400,2025-07-09, 
3,1,50,2025-08-27,
3,1,30,2025-09-17,
3,1,50,2025-09-03,
3,1,50,2025-09-24,
3,7,100,2025-10-08,
3,1,100,2025-11-05,
3,1,150,2025-11-12,
3,1,100,2026-01-07,
3,1,150,2026-01-07,
3,6,50,2025-03-05,
3,1,50,2025-06-25,
3,1,100,2025-04-30,
3,1,400,2026-01-14,
3,3,700,2026-01-14,
3,1,200,2026-01-28,
3,1,100,2026-02-04,
3,1,100,2025-07-02,
3,1,150,2025-07-02,
3,1,50,2025-08-27,
3,3,700,2025-07-09,
3,1,200,2025-07-23,
3,1,100,2025-07-30,
3,1,50,2026-03-04,
3,6,50,2026-03-11,
3,1,50,2026-03-04,
3,1,30,2026-03-18,
3,1,50,2026-03-04,
3,1,50,2026-03-25,
4,8,50,2026-03-18,
4,1,80,2025-07-30,
4,1,80,2026-02-04,
1,1,30,2025-10-08,
1,1,70,2025-09-10,
1,1,50,2025-07-23,
1,1,50,2025-11-26,
1,1,50,2026-01-28,
1,4,50,2025-07-16,
1,1,70,2026-03-11,
1,2,30,2025-06-04,
1,1,50,2025-11-12,
2,5,100,2025-04-30,
5,1,50,2025-09-10,
5,1,50,2025-08-27,
5,1,50,2026-03-04,
5,1,50,2026-03-11,
5,5,100,2025-05-07,
5,7,50,2025-10-08,
5,3,100,2026-01-07,
5,2,100,2025-12-03,
5,3,100,2025-07-02,
6,3,50,2025-08-06,
6,3,50,2026-02-11,
7,1,30,2025-10-01,
7,3,50,2025-07-02,
7,3,50,2026-01-07,
7,6,200,2025-03-12,
8,6,80,2025-03-12,
8,6,50,2025-07-30,
9,6,50,2025-08-27,
9,1,30,2025-08-13,
10,8,70,2026-03-18,
10,6,50,2025-03-12,
11,6,200,2025-11-26,
12,6,50,2026-01-28,
12,8,250,2026-03-11,
